algoritmo,N,dataset_size,tiempo_entrenamiento_s,tiempo_inferencia_s_por_muestra,accuracy,memoria_parametros_bytes,memoria_dataset_bytes
MLP,10,1024,1.69206,2.6731e-07,0.5,1928,81920
Perceptron,10,1024,0.0790821,1.2208e-08,0.50293,88,81920
