algoritmo,N,dataset_size,tiempo_entrenamiento_s,tiempo_inferencia_s_por_muestra,accuracy,memoria_parametros_bytes,memoria_dataset_bytes
MLP,34,100000,0.27278,1.03556e-06,0.4977,19592,17408
Perceptron,34,100000,0.0103635,2.61931e-08,0.4965,280,17408
